ticker,news_count,label_std_pct,label_absmean_pct,label_absmax_pct,first_date,last_date
GME,2969,24.235,12.279,134.84,2020-09-01,2023-12-15
AMC,2964,18.354,8.62,301.21,2020-09-01,2023-12-15
FCEL,483,8.145,5.78,54.33,2020-09-01,2023-12-11
NKLA,1436,8.029,5.772,40.79,2020-09-01,2023-12-14
BLNK,606,7.499,5.228,48.3,2020-09-08,2023-12-13
TSLA,7927,3.855,2.861,12.24,2022-05-02,2023-12-15
NVDA,7923,3.557,2.538,24.37,2021-08-17,2023-12-15
AMD,4616,3.526,2.676,14.27,2020-09-01,2023-12-27
BA,2517,2.79,2.048,13.71,2020-09-02,2023-12-14
MU,2107,2.731,2.047,10.54,2020-09-01,2023-12-14
INTC,4650,2.61,1.885,11.68,2020-09-01,2023-12-15
F,1162,2.367,1.524,12.25,2023-06-09,2023-12-15
DIS,5632,2.191,1.523,13.59,2020-09-01,2023-12-14
GE,2115,2.172,1.609,10.66,2020-09-01,2023-12-15
AMZN,4242,2.071,1.558,8.27,2023-03-09,2023-12-15
MSFT,7957,2.0,1.506,8.23,2022-04-26,2023-12-15
CVX,4647,1.863,1.408,8.9,2020-09-01,2023-12-15
GM,95,1.857,1.581,6.65,2023-11-30,2023-12-15
AAPL,7970,1.767,1.299,8.9,2022-06-03,2023-12-15
WMT,5342,1.66,1.031,11.38,2020-09-01,2023-12-15
MRK,2915,1.481,1.009,9.86,2020-09-02,2023-12-14
KO,2628,1.109,0.789,6.96,2020-09-02,2023-12-15
